Date,No.of Files,No. of Peers,Min ShareRatio,Rounds,Satisfaction
Tue Apr 23 20:57:45 BDT 2013,1000,50,0.5,2000,-233.0
Tue Apr 23 20:57:46 BDT 2013,1000,50,0.5,2000,6070.0
Tue Apr 23 20:57:53 BDT 2013,1000,50,0.5,2000,-1937.0
Tue Apr 23 20:57:55 BDT 2013,1000,50,0.5,2000,-1972.0
Tue Apr 23 20:58:26 BDT 2013,1000,200,0.5,2000,7808.0
Tue Apr 23 20:58:29 BDT 2013,1000,200,0.5,2000,8426.0
Tue Apr 23 20:58:31 BDT 2013,1000,200,0.5,2000,4770.0
Tue Apr 23 20:58:33 BDT 2013,1000,200,0.5,2000,6211.0
Tue Apr 23 20:58:35 BDT 2013,1000,200,0.5,2000,7445.0
Tue Apr 23 20:58:37 BDT 2013,1000,200,0.5,2000,4811.0
Tue Apr 23 20:58:39 BDT 2013,1000,200,0.5,2000,1983.0
Tue Apr 23 20:58:41 BDT 2013,1000,200,0.5,2000,9194.0
Tue Apr 23 20:58:42 BDT 2013,1000,200,0.5,2000,7703.0
Tue Apr 23 20:58:44 BDT 2013,1000,200,0.5,2000,4244.0
Tue Apr 23 20:58:46 BDT 2013,1000,200,0.5,2000,3901.0
Tue Apr 23 21:00:05 BDT 2013,1000,400,0.5,2000,11025.0
Tue Apr 23 21:00:16 BDT 2013,1000,400,0.5,2000,13166.0
Tue Apr 23 21:00:22 BDT 2013,1000,400,0.5,2000,14076.0
Tue Apr 23 21:00:25 BDT 2013,1000,400,0.5,2000,12698.0
Tue Apr 23 21:00:29 BDT 2013,1000,400,0.5,2000,11183.0
Tue Apr 23 21:00:33 BDT 2013,1000,400,0.5,2000,16196.0
Tue Apr 23 21:00:36 BDT 2013,1000,400,0.5,2000,13134.0
Tue Apr 23 21:00:39 BDT 2013,1000,400,0.5,2000,10494.0
Tue Apr 23 21:00:46 BDT 2013,1000,400,0.5,2000,10625.0
Tue Apr 23 21:00:52 BDT 2013,1000,400,0.5,2000,13912.0
Tue Apr 23 21:00:55 BDT 2013,1000,400,0.5,2000,21403.0
Tue Apr 23 21:00:58 BDT 2013,1000,400,0.5,2000,14067.0
Tue Apr 23 21:03:33 BDT 2013,1000,400,0.5,2000,12515.0
Tue Apr 23 21:04:14 BDT 2013,1000,50,0.1,2000,170231.0
Tue Apr 23 21:04:19 BDT 2013,1000,50,0.1,2000,85742.0
Tue Apr 23 21:04:21 BDT 2013,1000,50,0.1,2000,129494.0
Tue Apr 23 21:04:23 BDT 2013,1000,50,0.1,2000,147648.0
Tue Apr 23 21:04:24 BDT 2013,1000,50,0.1,2000,158013.0
Tue Apr 23 21:04:26 BDT 2013,1000,50,0.1,2000,168129.0
Tue Apr 23 21:04:27 BDT 2013,1000,50,0.1,2000,136767.0
Tue Apr 23 21:04:28 BDT 2013,1000,50,0.1,2000,134341.0
Tue Apr 23 21:04:29 BDT 2013,1000,50,0.1,2000,107135.0
Tue Apr 23 21:04:31 BDT 2013,1000,50,0.1,2000,165020.0
Tue Apr 23 21:04:32 BDT 2013,1000,50,0.1,2000,135259.0
Tue Apr 23 21:04:33 BDT 2013,1000,50,0.1,2000,115960.0
Tue Apr 23 21:04:34 BDT 2013,1000,50,0.1,2000,175397.0
Tue Apr 23 21:05:42 BDT 2013,1000,50,0.2,2000,109195.0
Tue Apr 23 21:05:44 BDT 2013,1000,50,0.2,2000,118311.0
Tue Apr 23 21:05:48 BDT 2013,1000,50,0.2,2000,109607.0
Tue Apr 23 21:05:49 BDT 2013,1000,50,0.2,2000,96966.0
Tue Apr 23 21:05:51 BDT 2013,1000,50,0.2,2000,100069.0
Tue Apr 23 21:05:52 BDT 2013,1000,50,0.2,2000,97430.0
Tue Apr 23 21:05:54 BDT 2013,1000,50,0.2,2000,129313.0
Tue Apr 23 21:05:55 BDT 2013,1000,50,0.2,2000,133793.0
Tue Apr 23 21:05:57 BDT 2013,1000,50,0.2,2000,144529.0
Tue Apr 23 21:05:58 BDT 2013,1000,50,0.2,2000,91924.0
Tue Apr 23 21:06:00 BDT 2013,1000,50,0.2,2000,86585.0
Tue Apr 23 21:06:01 BDT 2013,1000,50,0.2,2000,111758.0
